,Location,Pop./km2,Pop./sq mi,Population,Area(km2),Area(sq mi),Notes
0,Macau (China),"21,000","54,000","704,150",33,13,
1,Monaco,"18,000","47,000","36,298",2.0,0.77,[3]
2,Singapore,"8,250","21,400","6,014,723",729,281,
3,Hong Kong (China),"6,725","17,420","7,491,609","1,114",430,
4,Gibraltar (UK),"4,800","12,000","32,688",6.8,2.6,[4]
5,Bahrain,"1,910","4,900","1,485,510",778,300,
6,Maldives,"1,750","4,500","523,787",300,120,
7,Malta,"1,700","4,400","535,065",315,122,
8,Vatican City,"1,600","4,100",764,0.49,0.19,[b]
9,Sint Maarten (NL),"1,300","3,400","44,222",34,13,
10,Bermuda (UK),"1,200","3,100","64,069",54,21,
11,Bangladesh,"1,165","3,020","172,954,319","148,460","57,320",
12,Guernsey (UK),990,"2,600","63,544",64,25,
13,Jersey (UK),964,"2,500","111,803",116,45,
14,Mayotte (France),913,"2,360","335,995",368,142,
15,"Palestine(Gaza Strip, West Bank)",892,"2,310","5,371,230","6,020","2,320",[c]
16,Taiwan,676,"1,750","23,923,277","35,410","13,670",
17,Mauritius,657,"1,700","1,300,557","1,979",764,
18,Barbados,654,"1,690","281,996",431,166,
19,Nauru,610,"1,600","12,780",21,8.1,
20,Saint Martin (France),610,"1,600","32,077",53,20,
21,Aruba (NL),590,"1,500","106,277",180,69,
22,San Marino,550,"1,400","33,642",61,24,
23,Rwanda,535,"1,390","14,094,683","26,338","10,169",
24,South Korea,516,"1,340","51,784,059","100,413","38,770",
25,Lebanon,512,"1,330","5,353,930","10,452","4,036",
26,Saint BarthÃ©lemy (France),500,"1,300","10,994",22,8.5,
27,Burundi,476,"1,230","13,238,559","27,834","10,747",
28,Tuvalu,440,"1,100","11,396",26,10,
29,India,435,"1,130","1,428,627,663","3,287,263","1,269,219",
30,CuraÃ§ao (NL),433,"1,120","192,077",444,171,
31,Netherlands,436,"1,130","18,092,525","41,543","16,040",
32,Haiti,423,"1,100","11,724,764","27,750","10,710",
33,Israel,416,"1,080","9,174,520","22,072","8,522",
34,RÃ©union (France),391,"1,010","981,796","2,510",970,
35,Philippines,391,"1,010","117,337,368","300,000","120,000",
36,Belgium,383,990,"11,686,140","30,528","11,787",
37,Comoros,381,990,"852,075","2,235",863,
38,Grenada,366,950,"126,184",345,133,
39,Puerto Rico (US),361,930,"3,205,691","8,868","3,424",
40,Martinique (France),337,870,"366,981","1,090",420,
41,Sri Lanka,334,870,"21,893,579","65,610","25,330",
42,Japan,326,840,"123,294,513","377,930","145,920",
43,Guam (US),320,830,"172,952",541,209,
44,El Salvador,303,780,"6,364,943","21,041","8,124",
45,Pakistan,302,780,"240,485,658","796,095","307,374",
46,Trinidad and Tobago,299,770,"1,534,937","5,127","1,980",
47,Vietnam,298,770,"98,858,950","331,340","127,930",
48,Saint Lucia,293,760,"180,251",616,238,
49,U.S. Virgin Islands (US),285,740,"98,750",347,134,
50,United Kingdom,279,720,"67,596,281","242,495","93,628",2022[10]
51,Saint Vincent and the Grenadines,267,690,"103,699",389,150,
52,Cayman Islands (UK),263,680,"69,310",264,102,
53,Jamaica,257,670,"2,825,544","10,991","4,244",
54,Luxembourg,253,660,"654,768","2,586",998,
55,Liechtenstein,247,640,"39,585",160,62,
56,Gambia,246,640,"2,773,168","11,295","4,361",
57,Nigeria,249,640,"230,842,743","923,768","356,669",[11]
58,Kuwait,242,630,"4,310,108","17,818","6,880",
59,Guadeloupe (France),242,630,"395,839","1,639",633,
60,SÃ£o TomÃ© and PrÃ­ncipe,241,620,"231,856",964,372,
61,Seychelles,236,610,"107,660",457,176,
62,Qatar,233,600,"2,716,391","11,637","4,493",
63,Germany,233,600,"83,294,633","357,581","138,063",
64,Dominican Republic,233,600,"11,332,973","48,671","18,792",
65,Marshall Islands,232,600,"41,996",181,70,
66,Malawi,221,570,"20,931,751","94,552","36,507",
67,American Samoa (US),221,570,"43,915",199,77,
68,North Korea,217,560,"26,160,822","120,538","46,540",
69,Antigua and Barbuda,213,550,"94,298",442,171,
70,Switzerland,213,550,"8,796,669","41,291","15,943",
71,Nepal,210,540,"30,896,590","147,181","56,827",
72,British Virgin Islands (UK),209,540,"31,538",151,58,
73,Uganda,201,520,"48,582,334","241,550","93,260",
74,Italy,195,510,"58,870,763","302,068","116,629",
75,Kiribati,184,480,"133,515",726,280,
76,Saint Kitts and Nevis,183,470,"47,755",261,101,
77,Anguilla (UK),175,450,"15,900",91,35,
78,Andorra,171,440,"80,088",468,181,
79,Guatemala,166,430,"18,092,026","108,889","42,042",
80,Micronesia,164,420,"115,224",702,271,
81,Togo,159,410,"9,053,799","56,785","21,925",
82,Tokelau (New Zealand),158,410,"1,893",12,4.6,
83,Kosovo,153,400,"1,663,595","10,905","4,210",
84,China,149,390,"1,425,671,352","9,600,000","3,700,000",
85,Cape Verde,148,380,"598,682","4,033","1,557",
86,Isle of Man,148,380,"84,710",572,221,
87,Indonesia,145,380,"277,534,123","1,910,931","737,815",
88,Tonga,144,370,"107,773",747,288,
89,Ghana,143,370,"34,121,985","238,537","92,100",
90,Northern Cyprus,141,370,"476,214","3,355","1,295",[d]
91,Thailand,140,360,"71,801,279","513,140","198,120",
92,Denmark,138,360,"5,910,913","42,947","16,582",
93,Cyprus,136,350,"1,260,138","9,251","3,572",
94,United Arab Emirates,134,350,"9,516,871","71,024","27,423",
95,Transnistria,134,350,"468,980","3,510","1,360",[14]
96,Czech Republic,133,340,"10,495,295","78,871","30,452",
97,Jordan,127,330,"11,337,053","89,318","34,486",
98,Syria,125,320,"23,227,014","185,180","71,500",
99,Sierra Leone,122,320,"8,791,092","72,300","27,900",
100,Poland,120,310,"37,691,000","313,931","121,209",[e]
101,Azerbaijan,120,310,"10,412,652","86,600","33,400",
102,Benin,119,310,"13,712,828","114,763","44,310",
103,Slovakia,110,280,"5,422,194","49,035","18,933",[17]
104,France (metropolitan),117,300,"64,756,584","551,500","212,900",
105,Ethiopia,115,300,"126,527,060","1,104,300","426,400",
106,Egypt,112,290,"112,716,599","1,002,000","387,000",
107,Portugal,111,290,"10,247,605","92,225","35,608",
108,Turkey,110,280,"85,816,199","783,562","302,535",
109,Hungary,109,280,"10,156,239","93,025","35,917",
110,Northern Mariana Islands (US),109,280,"49,796",457,176,
111,Austria,107,280,"8,958,961","83,878","32,385",
112,Iraq,105,270,"45,504,560","435,052","167,975",
113,Slovenia,105,270,"2,119,675","20,273","7,827",
114,Malaysia,104,270,"34,308,525","330,621","127,653",
115,Costa Rica,102,260,"5,212,173","51,100","19,700",
116,Cuba,102,260,"11,194,449","109,884","42,426",
117,Moldova,102,260,"3,435,931","33,847","13,068",
118,France (metropolitan & overseas),101,260,"68,000,000","672,000","259,000",
119,Albania,99,260,"2,832,439","28,748","11,100",
120,Dominica,97,250,"73,040",750,290,
121,Spain,97,250,"48,946,035","505,994","195,365",
122,Honduras,94,240,"10,593,798","112,492","43,433",
123,Cambodia,94,240,"16,944,826","181,039","69,900",
124,Armenia,93,240,"2,777,971","29,743","11,484",
125,Kenya,93,240,"55,100,587","591,958","228,556",
126,East Timor,91,240,"1,360,596","14,919","5,760",
127,Senegal,90,230,"17,763,163","196,712","75,951",
128,Ivory Coast,90,230,"28,873,034","322,462","124,503",
129,Burkina Faso,86,220,"23,251,485","270,764","104,543",
130,French Polynesia (France),84,220,"308,872","3,687","1,424",
131,Romania,83,210,"19,892,812","238,398","92,046",
132,Caribbean Netherlands (Netherlands),83,210,"27,148",328,127,
133,North Macedonia,81,210,"2,085,679","25,713","9,928",
134,Wallis and Futuna (France),81,210,"11,502",142,55,
135,Serbia,81,210,"7,149,077","88,444","34,148",
136,Myanmar,81,210,"54,577,997","676,577","261,228",
137,Samoa,79,200,"225,681","2,842","1,097",
138,Brunei,78,200,"452,524","5,765","2,226",
139,Greece,78,200,"10,341,277","131,957","50,949",
140,Uzbekistan,78,200,"35,163,944","448,969","173,348",
141,Lesotho,77,200,"2,330,318","30,355","11,720",
142,Tunisia,76,200,"12,458,223","163,610","63,170",
143,Ireland,72,190,"5,056,935","69,825","26,960",
144,Cook Islands,72,190,"17,044",236,91,
145,Tajikistan,72,190,"10,143,543","141,400","54,600",
146,Tanzania,71,180,"67,438,106","947,303","365,756",
147,Croatia,71,180,"4,008,617","56,594","21,851",
148,Ecuador,71,180,"18,190,484","257,215","99,311",
149,Eswatini,70,180,"1,210,822","17,363","6,704",
